[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,797 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-06 00:50:50,798 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2023-07-06 00:50:53,706 - INFO - Process handle <PyHANDLE:1588> returned code 0
[connectionpool.py:1048] - 2023-07-06 00:51:59,426 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-07-06 00:51:59,641 - DEBUG - https://discord.com:443 "GET /api/webhooks/1126284188308492309/jJQ6p76AmIdjo3dtCzUCJ5W4FAy_boZGHb_oPruajQGlFPHcGPkujzjpGGnQYDpK1c8k HTTP/1.1" 200 None
[builder.pyw:425] - 2023-07-06 00:58:08,156 - INFO - Retrieved filename: empyrean grabber
[builder.pyw:394] - 2023-07-06 00:58:08,157 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 00:58:08,157 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 00:58:08,157 - INFO - Changed filetype: cxfreeze
[builder.pyw:445] - 2023-07-06 00:58:08,158 - INFO - Successfully changed config
[builder.pyw:517] - 2023-07-06 00:58:19,201 - INFO - Successfully compiled empyrean grabber.exe with cxfreeze
[builder.pyw:425] - 2023-07-06 01:14:08,898 - INFO - Retrieved filename: empyrean grabber
